*** Booting nRF Connect SDK v2.7.0-5cb85570ca43 ***
*** Using Zephyr OS v3.6.99-100befc70c74 ***
[00:00:03.004,241] <inf> core_boot: --- USB CONNECTED. BOOTING SUBSYSTEMS ---
[00:00:03.004,241] <inf> dmic_nrfx_pdm: PDM clock frequency: 1280000, actual PCM rate: 16000
[00:00:03.004,241] <inf> core_boot: Initializing ML...

[ML] Initializing TFLM Interpreter...
[ML] step 1 init complete
[ML] step 2 init complete
[ML] step 3 init complete
[ML] Arena size allocated: 118784 bytes
[ML] Arena bytes actually used: 110628 bytes
[ML] step 4 init complete
[ML] Model expects input_tensor->bytes = 1287 (firmware assumes 1287)
[00:00:07.034,729] <inf> ml_ctrl: [ML] TFLM Interpreter Initialized. Arena Size: 118784 bytes
[00:00:07.034,729] <inf> core_boot: ML Init Complete!

[00:00:07.036,163] <inf> mic_ctrl: [MIC] Hardware DMA Triggered. Pipeline Active.
[00:00:07.036,224] <inf> core_boot: System Ready. ML Inference Auto-Started.
> snapshot
snapshot

[SYSTEM] --> ML SNAPSHOT REQUESTED

[SNAPSHOT] Get ready to speak your keyword...
[SNAPSHOT] 3...
[SNAPSHOT] 2...
[SNAPSHOT] 1...
[SNAPSHOT] >>> SPEAK NOW <<<
[SNAPSHOT] Capture complete: 32000 samples (2000 ms)
[SNAPSHOT] --- BEGIN PCM ---
PCM,28,24,29,29,28,28,32,32,31,32,29,28,28,31,33,33
PCM,33,29,32,30,31,32,32,30,30,29,27,24,26,25,24,27
PCM,26,23,23,24,26,25,24,24,23,22,27,24,25,24,23,25
PCM,28,28,29,27,28,30,27,27,28,29,30,28,28,31,27,27
PCM,28,25,27,31,25,29,28,28,27,28,31,29,27,25,27,28
PCM,26,26,24,27,25,24,26,26,24,24,24,26,26,23,24,24
PCM,24,23,24,23,21,18,20,23,22,24,20,23,23,20,22,23
PCM,20,22,23,23,21,21,21,18,18,19,18,20,21,19,20,22
PCM,22,22,20,21,19,18,19,23,24,22,23,24,22,24,23,23
PCM,22,22,25,27,23,24,23,24,22,22,23,24,26,28,29,29
PCM,27,25,26,27,31,29,27,27,25,27,28,28,29,26,26,24
PCM,25,24,24,25,26,30,30,31,28,30,31,30,31,32,32,32
PCM,31,32,32,32,33,32,33,33,34,34,34,37,35,36,33,34
PCM,36,32,33,32,32,34,33,32,31,30,30,30,27,27,27,26
PCM,29,29,27,26,25,26,25,26,27,23,25,24,25,26,26,25
PCM,28,26,25,26,27,28,26,25,27,30,27,27,28,28,28,27
PCM,28,27,26,30,29,31,30,31,32,31,33,33,34,33,33,35
PCM,34,36,33,35,34,36,38,36,39,41,41,38,39,38,40,41
PCM,38,36,38,41,37,38,38,38,36,38,36,41,43,42,43,42
PCM,42,43,43,43,42,40,40,42,42,42,43,44,44,40,40,43
PCM,45,42,43,44,43,42,42,41,40,43,43,42,43,42,40,39
PCM,40,39,41,43,40,43,40,40,40,41,40,38,38,37,34,34
PCM,34,34,35,34,34,34,33,34,31,31,29,29,29,28,28,29
PCM,32,27,29,27,28,30,30,31,31,32,34,30,33,32,34,34
PCM,32,29,30,33,32,32,34,30,31,32,33,35,34,35,34,36
PCM,38,36,36,38,38,36,36,35,36,34,34,36,36,35,36,38
PCM,37,35,36,36,36,37,36,34,36,33,35,36,33,31,31,33
PCM,30,32,33,34,31,31,31,32,32,32,31,30,31,31,31,34
PCM,35,35,35,35,36,35,36,35,34,34,32,30,30,32,32,33
PCM,31,33,33,32,33,33,32,31,32,30,28,31,27,30,27,30
PCM,29,26,27,25,25,24,23,23,23,24,25,25,24,26,26,26
PCM,27,25,25,23,24,23,24,25,27,25,27,24,27,25,25,25
PCM,26,29,26,23,26,25,23,27,25,25,27,28,27,24,25,25
PCM,27,27,27,27,26,27,29,29,28,28,32,28,28,29,29,32
PCM,31,30,31,33,31,33,33,31,31,32,31,30,29,32,33,32
PCM,31,31,31,31,31,32,34,33,31,32,34,34,37,36,31,32
PCM,32,35,35,34,33,35,37,35,38,38,38,38,35,36,36,35
PCM,37,37,36,36,36,38,37,36,36,35,37,36,35,33,34,33
PCM,33,33,32,32,31,30,30,33,29,29,28,29,27,28,27,24
PCM,25,26,25,25,25,23,22,23,23,21,20,22,24,24,23,25
PCM,25,25,27,27,28,28,28,32,33,32,32,33,32,36,35,34
PCM,33,33,32,34,34,35,34,34,34,33,32,32,32,33,35,33
PCM,34,36,36,37,36,35,38,37,37,36,36,36,37,36,36,34
PCM,35,37,35,38,36,36,35,38,38,37,40,41,40,41,41,39
PCM,38,39,40,41,39,37,38,41,42,41,40,41,40,41,40,41
PCM,42,41,39,39,40,42,44,41,42,43,43,45,45,44,46,47
PCM,45,46,46,43,44,43,46,44,44,45,43,44,39,40,40,39
PCM,38,38,37,32,34,33,33,33,33,33,33,33,33,31,31,31
PCM,32,35,36,37,35,38,36,37,37,36,39,39,38,37,37,36
